Sega,Episode Titles,English air date,Households,Rank,Viewership
Frieza Saga ,"""Thou Who Hast Gathered the Seven Balls... Now Speak Forth the Password!"" / ""Password is Porunga""
",21-Sep-99,"1,473,000",25,N/A
Frieza Saga ,"""Kami-sama Also Returns to Life! Piccolo is Resurrected by Super Shen Long"" / ""Piccolo's Return""
",22-Sep-99,N/A,N/A,N/A
Frieza Saga ,"""Birth of the Mightiest Warrior!? Nail and Piccolo Merge"" / ""The Fusion""
",23-Sep-99,N/A,N/A,N/A
Frieza Saga ,"""A Nightmare Super-Transformation!! Frieza's Battle Power of One Million"" / ""Fighting Power: One Million?""
",24-Sep-99,N/A,N/A,N/A
Frieza Saga ,"""Is This the End!? A Brutally Transcendent Power Attacks Gohan"" / ""Gohan Attacks""
",27-Sep-99,"1,633,000",22,N/A
Frieza Saga ,"""The Tide Suddenly Turned!! Piccolo, the Warrior Who Came Late"" / ""Piccolo the Super-Namek""
",27-Sep-99,N/A,N/A,N/A
Frieza Saga ,"""Piccolo's Self-Confidence! I Will Be the One to Defeat Freeza"" / ""Deja Vu""
",28-Sep-99,N/A,N/A,N/A
Frieza Saga ,"""Attack, Goku!! An Enraged Freeza's Second Transformation"" / ""Frieza's Second Transformation""
",29-Sep-99,N/A,N/A,N/A
Frieza Saga ,"""Fear Me!! Freeza Does Battle with a Third Transformation"" / ""Another Transformation?""
",30-Sep-99,"1,743,000",16,N/A
Frieza Saga ,"""The Death of Dende... Come Forth! Intense, Wide-Open Power"" / ""Dende's Demise""
",1-Oct-99,"1,609,000",22,N/A
Frieza Saga ,"""How I've Waited for this Moment!!! Son Goku Revived"" / ""The Renewed Goku""
",4-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""Such Regret...!! Vegeta, Pride of the Saiyans, Dies"" / ""The End of Vegeta""
",5-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""The Curtain Rises over the Ultimate Battle!! I Am Going to Defeat You!"" / ""The Ultimate Battle""
",6-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""The Two Superpowers Collide! A Fistfight Where Both Turn Serious!!!"" / ""Clash of the Super Powers""
",7-Oct-99,N/A,N/A,N/A
