Sega,Episode Titles,Episode air date,HH,Rank,Viewership
"Other World, Great Saiyaman and World Tournament ","	""A Deep Impression!! There They Are! The Next World's Awesome Dudes"" / ""Warriors of the Dead""",September 10 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""I'm the Best in the Next World!! Heroes of the Ages Assembled"" / ""Tournament Begins""",September 11 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""Grand Kaio's World Gone Wild!! Goku Kicks Up a Whirlwind"" / ""Water Fight""",September 12 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""Final Round of Flame!! Goku or Paikuhan!?"" / ""Final Round""
",September 13 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""Don't Let Victory Get Away!! Finish With an Ultra-Fast Kamehame-Ha"" / ""Goku vs. Pikkon""",September 14 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""Seven Years Since Then! Starting Today, I'm a High School Student"" / ""Gohan Goes to High School""",September 17 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""For Love and Justice — Enter the Great Saiyaman"" / ""I am Saiyaman""",September 18 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""Gohan's Frantic First Date!?"" / ""Gohan's First Date""",November 27 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""Gohan, Scramble! Save Videl!!"" / ""Rescue Videl""",September 19 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""A Case of Robbery!! The Culprit is Saiyaman!?"" / ""Blackmail""",September 20 2001,"2,358,000",20,N/A
"Other World, Great Saiyaman and World Tournament ","""Goku Returning to Life!? Entry into the Tenkaichi Tournament!!"" / ""I'll Fight Too!""",September 21 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""Even Gohan is Surprised! Goten's Explosion of Power"" / ""The Newest Super Saiyan""",September 24 2001,"2,435,000",7,"3,214,000"
"Other World, Great Saiyaman and World Tournament ","""Ah, You're Flying!! Videl's Introduction to Bukujutsu"" / ""Take Flight Videl""",September 25 2001,"2,284,000",9,"3,163,000"
"Other World, Great Saiyaman and World Tournament ","""Welcome Back, Goku! The Entire Z Team Assembles!!"" / ""Gather For the Tournament""",September 26 2001,"2,733,000",5,"3,624,000"
"Other World, Great Saiyaman and World Tournament ","""Watch Out, Saiyaman! Beware of Sharpshooters!?"" / ""Camera Shy""",September 27 2001,"2,263,000",10,"3,221,000"
"Other World, Great Saiyaman and World Tournament ","""No Small Matter!! Little Trunks"" / ""The World Tournament""",September 28 2001,"2,471,000",6,"3,331,000"
"Other World, Great Saiyaman and World Tournament ","""It's My Turn! Goten's Anxious First Fight"" / ""Trunks vs. Goten""",October 2 2001,"2,270,000",20,N/A
"Other World, Great Saiyaman and World Tournament ","""Happiness Times a Million! The Junior Champion Is Decided!!"" / ""Best of the Boys""",October 3 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""Now What, Satan!? The Greatest Pinch in History"" / ""Big Trouble, Little Trunks""",October 4 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""Event Match-ups Decided!! Let's Hurry and Hold the First Round"" / ""Who Will Fight Who?""",October 5 2001,"2,290,000",19,N/A
"Other World, Great Saiyaman and World Tournament ","""What's the Matter, Piccolo!? An Unheard-of No-Fight-Forfeit"" / ""Forfeit of Piccolo!""",October 8 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""Undyingly Unpleasant!? The Mystery of Spopovitch"" / ""A Dark and Secret Power""",October 9 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""A Tragic Videl!! Are You Coming Out, Angry Super Gohan?"" / ""Videl is Crushed""",October 10 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""Exposed!! The Saiyaman is Son Gohan!"" / ""Identities Revealed""",October 11 2001,N/A,N/A,N/A
"Other World, Great Saiyaman and World Tournament ","""A Slithering Conspiracy!! Gohan's Power is Stolen"" / ""Energy Drain""",October 12 2001,N/A,N/A,N/A
